  COBI#       atomMU       atomNU     distance     translation      ICOBI (at) eF   for spin  1
    163          H14           H8      1.52967       0   0  -1            0.03605 
    164          H14           H8      2.86199       0   1  -1            0.00012 
    165          H10           H9      1.73747      -1   0   0            0.00205 
    166          H10           H9      1.68631       0   0   0            0.01207 
    167          H11           H9      1.79395       0   0   0            0.00875 
    168          H11           H9      1.76924       0   1   0            0.00378 
    169          H11           H9      2.98389       1   1   0            0.00004 
    170          H12           H9      2.96512      -1   1  -1            0.00014 
    171          H12           H9      2.93546       0   1  -1            0.00157 
    172          H12           H9      2.96511      -1   1   0            0.00013 
    173          H12           H9      2.93546       0   1   0            0.00153 
    174          H13           H9      2.40271       0   1  -1            0.00887 
    175          H13           H9      2.40275       0   1   0            0.00871 
    176          H14           H9      2.31085      -1   0  -1            0.01084 
    177          H14           H9      2.60421      -1   0   0            0.00495 
    178          H11          H10      1.79403       0   0   0            0.00874 
    179          H11          H10      2.98391       0   1   0            0.00004 
    180          H11          H10      1.76918       1   1   0            0.00377 
    181          H12          H10      2.40275       0   1  -1            0.00884 
    182          H12          H10      2.40271       0   1   0            0.00868 
    183          H13          H10      2.93541       0   1  -1            0.00157 
    184          H13          H10      2.96512       1   1  -1            0.00015 
    185          H13          H10      2.93541       0   1   0            0.00153 
    186          H13          H10      2.96512       1   1   0            0.00013 
    187          H14          H10      2.31092       0   0  -1            0.01089 
    188          H14          H10      2.60423       0   0   0            0.00496 
    189          H12          H11      2.60421      -1   0  -1            0.00515 
    190          H12          H11      2.31085      -1   0   0            0.01062 
    191          H13          H11      2.60423       0   0  -1            0.00513 
    192          H13          H11      2.31092       0   0   0            0.01056 
    193          H14          H11      2.96378      -1   0  -1            0.00039 
    194          H14          H11      2.96389       0   0  -1            0.00039 
    195          H14          H11      2.96378      -1   0   0            0.00045 
    196          H14          H11      2.96388       0   0   0            0.00045 
    197          H13          H12      1.68631       0   0   0            0.01225 
    198          H13          H12      1.73747       1   0   0            0.00207 
    199          H14          H12      2.98389      -1  -1   0            0.00004 
    200          H14          H12      1.76924       0  -1   0            0.00382 
    201          H14          H12      1.79395       0   0   0            0.00842 
    202          H14          H13      1.76918      -1  -1   0            0.00384 
    203          H14          H13      2.98391       0  -1   0            0.00004 
    204          H14          H13      1.79403       0   0   0            0.00839 
