  COHP#       atomMU       atomNU     distance     translation      ICOHP (at) eF   for spin  1
    179          H11          H10      2.98391       0   1   0           -0.00055 
    180          H11          H10      1.76918       1   1   0           -0.05785 
    181          H12          H10      2.40275       0   1  -1           -0.04869 
    182          H12          H10      2.40271       0   1   0           -0.04809 
    183          H13          H10      2.93541       0   1  -1            0.00132 
    184          H13          H10      2.96512       1   1  -1           -0.00224 
    185          H13          H10      2.93541       0   1   0            0.00130 
    186          H13          H10      2.96512       1   1   0           -0.00206 
    187          H14          H10      2.31092       0   0  -1           -0.04509 
    188          H14          H10      2.60423       0   0   0           -0.02362 
    189          H12          H11      2.60421      -1   0  -1           -0.02422 
    190          H12          H11      2.31085      -1   0   0           -0.04434 
    191          H13          H11      2.60423       0   0  -1           -0.02393 
    192          H13          H11      2.31092       0   0   0           -0.04386 
    193          H14          H11      2.96378      -1   0  -1            0.00007 
    194          H14          H11      2.96389       0   0  -1            0.00009 
    195          H14          H11      2.96378      -1   0   0            0.00008 
    196          H14          H11      2.96388       0   0   0            0.00010 
    197          H13          H12      1.68631       0   0   0           -0.14762 
    198          H13          H12      1.73747       1   0   0           -0.04388 
    199          H14          H12      2.98389      -1  -1   0           -0.00057 
    200          H14          H12      1.76924       0  -1   0           -0.05825 
    201          H14          H12      1.79395       0   0   0           -0.09162 
    202          H14          H13      1.76918      -1  -1   0           -0.05869 
    203          H14          H13      2.98391       0  -1   0           -0.00054 
    204          H14          H13      1.79403       0   0   0           -0.09140 
