  COOP#       atomMU       atomNU     distance     translation      ICOOP (at) eF   for spin  1
    152          H14           H7      2.18111       0   0  -1           -0.01041 
    153           H9           H8      1.93555       0   0   0           -0.07894 
    154           H9           H8      1.98028       1   0   0           -0.02402 
    155          H10           H8      0.95014       0   0   0            0.20300 
    156          H11           H8      2.10482       0   0   0           -0.04450 
    157          H11           H8      2.08369       1   1   0           -0.02101 
    158          H12           H8      1.56963       0   1  -1            0.01406 
    159          H13           H8      2.52183       0   0  -1           -0.00153 
    160          H13           H8      2.30373       0   1  -1            0.00012 
    161          H13           H8      2.34147       1   1  -1           -0.01283 
    162          H14           H8      2.84835      -1   0  -1           -0.00269 
    163          H14           H8      1.52967       0   0  -1           -0.00001 
    164          H14           H8      2.86199       0   1  -1           -0.00050 
    165          H10           H9      1.73747      -1   0   0           -0.03017 
    166          H10           H9      1.68631       0   0   0            0.00534 
    167          H11           H9      1.79395       0   0   0           -0.00841 
    168          H11           H9      1.76924       0   1   0           -0.02124 
    169          H11           H9      2.98389       1   1   0            0.00050 
    170          H12           H9      2.96512      -1   1  -1            0.00490 
    171          H12           H9      2.93546       0   1  -1           -0.00334 
    172          H12           H9      2.96511      -1   1   0            0.00504 
    173          H12           H9      2.93546       0   1   0           -0.00322 
    174          H13           H9      2.40271       0   1  -1           -0.03053 
    175          H13           H9      2.40275       0   1   0           -0.02997 
    176          H14           H9      2.31085      -1   0  -1           -0.03658 
    177          H14           H9      2.60421      -1   0   0           -0.01393 
    178          H11          H10      1.79403       0   0   0           -0.00846 
    179          H11          H10      2.98391       0   1   0            0.00048 
    180          H11          H10      1.76918       1   1   0           -0.02134 
    181          H12          H10      2.40275       0   1  -1           -0.03048 
    182          H12          H10      2.40271       0   1   0           -0.02992 
    183          H13          H10      2.93541       0   1  -1           -0.00336 
    184          H13          H10      2.96512       1   1  -1            0.00489 
    185          H13          H10      2.93541       0   1   0           -0.00321 
    186          H13          H10      2.96512       1   1   0            0.00505 
    187          H14          H10      2.31092       0   0  -1           -0.03668 
    188          H14          H10      2.60423       0   0   0           -0.01393 
    189          H12          H11      2.60421      -1   0  -1           -0.01447 
    190          H12          H11      2.31085      -1   0   0           -0.03592 
    191          H13          H11      2.60423       0   0  -1           -0.01446 
    192          H13          H11      2.31092       0   0   0           -0.03579 
    193          H14          H11      2.96378      -1   0  -1            0.00063 
    194          H14          H11      2.96389       0   0  -1            0.00065 
    195          H14          H11      2.96378      -1   0   0            0.00035 
    196          H14          H11      2.96388       0   0   0            0.00031 
    197          H13          H12      1.68631       0   0   0            0.00659 
    198          H13          H12      1.73747       1   0   0           -0.02977 
    199          H14          H12      2.98389      -1  -1   0            0.00047 
    200          H14          H12      1.76924       0  -1   0           -0.02093 
    201          H14          H12      1.79395       0   0   0           -0.01051 
    202          H14          H13      1.76918      -1  -1   0           -0.02081 
    203          H14          H13      2.98391       0  -1   0            0.00047 
    204          H14          H13      1.79403       0   0   0           -0.01063 
